covariate_level,topic,mean_prevalence,median_prevalence,n_documents,topic_mean,prevalence_lift,article_label,short_label_article,compact_label,plot_label,broader_theme
Hypotrigonina,1,0.06538112402084882,0.004465403536182597,74,0.1435008982818886,-0.07811977426103979,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Hypotrigonina,2,0.16247573216806238,0.004349440148458447,74,0.1719384929691194,-0.009462760801057013,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Hypotrigonina,3,0.10101101118912265,0.008362906814692714,74,0.05759302839011447,0.04341798279900817,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Hypotrigonina,4,0.15007275166556838,0.008194281478609688,74,0.16662840898348605,-0.016555657317917666,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Hypotrigonina,5,0.01410028511798446,2.5745584917390564e-4,74,0.048914490295072555,-0.034814205177088095,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Hypotrigonina,6,0.2556630761702705,0.02794798086123822,74,0.11058499356679913,0.14507808260347138,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Hypotrigonina,7,0.109873256292714,0.005879076197754486,74,0.10656539127538367,0.003307865017330325,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Hypotrigonina,8,0.038204838600205855,9.598923845441737e-4,74,0.06762619737584778,-0.029421358775641927,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Hypotrigonina,9,0.09055113346799619,0.0023930319238309366,74,0.06731885264972194,0.023232280818274248,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Hypotrigonina,10,0.012666791307226779,7.133319870895312e-4,74,0.0593292462125664,-0.046662454905339615,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Multi-subtribe,1,0.2799136872436802,0.015584789434859544,11,0.1435008982818886,0.1364127889617916,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Multi-subtribe,2,0.09622378516161315,0.002115483690534509,11,0.1719384929691194,-0.07571470780750625,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Multi-subtribe,3,0.012359618210512858,0.0011029880790479904,11,0.05759302839011447,-0.04523341017960161,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Multi-subtribe,4,0.356119215102476,0.04335595738283708,11,0.16662840898348605,0.18949080611898997,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Multi-subtribe,5,0.011440853454906228,9.470233060398062e-4,11,0.048914490295072555,-0.03747363684016633,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Multi-subtribe,6,0.03062296702734503,0.0037017847259834887,11,0.11058499356679913,-0.0799620265394541,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Multi-subtribe,7,0.030208121716023877,0.004152218841018157,11,0.10656539127538367,-0.07635726955935979,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Multi-subtribe,8,0.0028839997429605893,9.588624942847143e-4,11,0.06762619737584778,-0.06474219763288719,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Multi-subtribe,9,0.06639455043879708,0.0010900787560931518,11,0.06731885264972194,-9.243022109248628e-4,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Multi-subtribe,10,0.11383320190168496,4.532796532813918e-4,11,0.0593292462125664,0.05450395568911856,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Unassigned,1,0.1616686256365733,0.010140254978432843,12,0.1435008982818886,0.018167727354684693,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Unassigned,2,0.3895005099290401,0.32990368051762897,12,0.1719384929691194,0.21756201695992072,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Unassigned,3,0.05023856854861686,0.011548044845657555,12,0.05759302839011447,-0.007354459841497615,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Unassigned,4,0.11638433408513978,0.011962383916509915,12,0.16662840898348605,-0.05024407489834627,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Unassigned,5,0.0036242700398376993,3.677753322510899e-4,12,0.048914490295072555,-0.04529022025523485,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Unassigned,6,0.057053623936553485,0.003869796336562544,12,0.11058499356679913,-0.05353136963024564,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Unassigned,7,0.07630834732099798,0.003694112448426893,12,0.10656539127538367,-0.030257043954385693,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Unassigned,8,0.09414823895174089,0.002093232482627919,12,0.06762619737584778,0.026522041575893107,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Unassigned,9,0.048012297695032846,0.0011729967204893769,12,0.06731885264972194,-0.019306554954689095,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Unassigned,10,0.0030611838564669753,8.578590103250612e-4,12,0.0593292462125664,-0.05626806235609942,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
