covariate_level,topic,mean_prevalence,median_prevalence,n_documents,topic_mean,prevalence_lift,article_label,short_label_article,compact_label,plot_label,broader_theme
Multi-region,10,0.11355540265713167,4.755889687670132e-4,11,0.04802057827648113,0.06553482438065053,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Unassigned,1,0.12960657884991403,0.009289201188604445,15,0.12832010403285135,0.0012864748170626772,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Unassigned,2,0.3366157979484598,0.27535459336321094,15,0.1313899717710354,0.2052258261774244,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Unassigned,3,0.04144063372673921,0.008731112473602046,15,0.09527813356855613,-0.053837499841816926,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Unassigned,4,0.10722071577545572,0.013822729432514861,15,0.1573484606382439,-0.050127744862788176,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Unassigned,5,0.0031420544139667034,3.7324046939839385e-4,15,0.039658486244210575,-0.03651643183024387,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Unassigned,6,0.20399267867894594,0.01520327279303991,15,0.18151814687453702,0.02247453180440892,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Unassigned,7,0.060523295340302596,0.003327839763533398,15,0.08978089956285627,-0.029257604222553676,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Unassigned,8,0.0753542539464757,0.001111561197437318,15,0.05182393044806561,0.02353032349841009,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Unassigned,9,0.03901232440934659,9.890964342751652e-4,15,0.07686128858316266,-0.037848964173816065,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Unassigned,10,0.0030916669103936813,0.001646232132875022,15,0.04802057827648113,-0.04492891136608745,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
