covariate_level,topic,mean_prevalence,median_prevalence,n_documents,topic_mean,prevalence_lift,article_label,short_label_article,compact_label,plot_label,broader_theme
Afrotropical,6,0.3533165676470621,0.10776828676391172,8,0.18151814687453702,0.17179842077252508,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Afrotropical,3,0.27351413187145557,0.026312925435831427,8,0.09527813356855613,0.17823599830289943,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Afrotropical,9,0.12223004501451444,0.0011470742985644172,8,0.07686128858316266,0.045368756431351784,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Afrotropical,4,0.12201930298271162,0.0020019404402647576,8,0.1573484606382439,-0.03532915765553228,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Afrotropical,1,0.10005683158873228,0.002952896318765427,8,0.12832010403285135,-0.028263272444119067,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Multi-region,4,0.3555462048934451,0.04315508258819219,11,0.1573484606382439,0.19819774425520117,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Multi-region,1,0.2805572384611031,0.014919007147913343,11,0.12832010403285135,0.15223713442825174,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Multi-region,10,0.11355540265713167,4.755889687670132e-4,11,0.04802057827648113,0.06553482438065053,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Multi-region,2,0.09585764674743469,0.0019521028683017812,11,0.1313899717710354,-0.03553232502360071,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Multi-region,9,0.0664772643424241,7.692218557075984e-4,11,0.07686128858316266,-0.01038402424073856,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Unassigned,2,0.3366157979484598,0.27535459336321094,15,0.1313899717710354,0.2052258261774244,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Unassigned,6,0.20399267867894594,0.01520327279303991,15,0.18151814687453702,0.02247453180440892,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Unassigned,1,0.12960657884991403,0.009289201188604445,15,0.12832010403285135,0.0012864748170626772,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Unassigned,4,0.10722071577545572,0.013822729432514861,15,0.1573484606382439,-0.050127744862788176,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Unassigned,8,0.0753542539464757,0.001111561197437318,15,0.05182393044806561,0.02353032349841009,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
